product_id,inventory_level
P00001,86
P00002,19
P00003,8
P00004,40
P00005,36
P00006,33
P00007,22
P00008,18
P00009,91
P00010,74
P00011,16
P00012,80
P00013,59
P00014,9
P00015,8
P00016,16
P00017,32
P00018,34
P00019,69
P00020,82
P00021,8
P00022,76
P00023,30
P00024,88
P00025,94
P00026,74
P00027,58
P00028,33
P00029,62
P00030,80
P00031,40
P00032,5
P00033,25
P00034,94
P00035,59
P00036,48
P00037,40
P00038,24
P00039,32
P00040,48
P00041,18
P00042,16
P00043,53
P00044,17
P00045,50
P00046,49
P00047,82
P00048,38
P00049,10
P00050,63
P00051,73
P00052,20
P00053,53
P00054,15
P00055,75
P00056,42
P00057,85
P00058,84
P00059,51
P00060,78
P00061,29
P00062,95
P00063,13
P00064,10
P00065,89
P00066,34
P00067,42
P00068,15
P00069,34
P00070,17
P00071,53
P00072,40
P00073,63
P00074,86
P00075,51
P00076,25
P00077,52
P00078,50
P00079,31
P00080,90
P00081,39
P00082,94
P00083,92
P00084,87
P00085,14
P00086,82
P00087,86
P00088,26
P00089,73
P00090,36
P00091,25
P00092,64
P00093,53
P00094,39
P00095,86
P00096,93
P00097,76
P00098,33
P00099,92
P00100,46
P00101,12
P00102,34
P00103,9
P00104,45
P00105,56
P00106,39
P00107,13
P00108,32
P00109,77
P00110,45
P00111,32
P00112,88
P00113,68
P00114,55
P00115,87
P00116,63
P00117,23
P00118,38
P00119,22
P00120,36
P00121,76
P00122,73
P00123,38
P00124,79
P00125,59
P00126,79
P00127,56
P00128,51
P00129,33
P00130,22
P00131,70
P00132,68
P00133,16
P00134,11
P00135,19
P00136,24
P00137,85
P00138,25
P00139,92
P00140,59
P00141,81
P00142,13
P00143,54
P00144,53
P00145,81
P00146,64
P00147,72
P00148,37
P00149,75
P00150,6
P00151,92
P00152,19
P00153,92
P00154,73
P00155,39
P00156,87
P00157,48
P00158,19
P00159,42
P00160,60
P00161,25
P00162,63
P00163,5
P00164,38
P00165,69
P00166,27
P00167,69
P00168,18
P00169,85
P00170,43
P00171,86
P00172,69
P00173,82
P00174,30
P00175,24
P00176,52
P00177,25
P00178,74
P00179,72
P00180,5
P00181,81
P00182,46
P00183,67
P00184,7
P00185,19
P00186,51
P00187,44
P00188,35
P00189,12
P00190,35
P00191,77
P00192,15
P00193,15
P00194,67
P00195,13
P00196,73
P00197,21
P00198,21
P00199,89
P00200,65
P00201,75
P00202,26
P00203,38
P00204,72
P00205,82
