product_id,date,price_usd
P00001,2025-02-01,194.96
P00001,2025-02-02,190.65
P00001,2025-02-03,163.01
P00001,2025-02-04,147.53
P00001,2025-02-05,131.99
P00001,2025-02-06,131.63
P00001,2025-02-07,129.7
P00002,2025-02-01,156.21
P00002,2025-02-02,160.65
P00002,2025-02-03,139.35
P00002,2025-02-04,130.21
P00002,2025-02-05,111.45
P00002,2025-02-06,99.61
P00002,2025-02-07,94.74
P00003,2025-02-01,213.33
P00003,2025-02-02,182.46
P00003,2025-02-03,162.35
P00003,2025-02-04,159.1
P00003,2025-02-05,152.58
P00003,2025-02-06,136.42
P00003,2025-02-07,132.03
P00004,2025-02-01,49.68
P00004,2025-02-02,50.27
P00004,2025-02-03,42.79
P00004,2025-02-04,43.27
P00004,2025-02-05,42.82
P00004,2025-02-06,39.31
P00004,2025-02-07,34.64
P00005,2025-02-01,156.32
P00005,2025-02-02,162.8
P00005,2025-02-03,149.34
P00005,2025-02-04,129.71
P00005,2025-02-05,112.76
P00005,2025-02-06,114.96
P00005,2025-02-07,111.6
P00006,2025-02-01,79.6
P00006,2025-02-02,80.51
P00006,2025-02-03,80.18
P00006,2025-02-04,76.75
P00006,2025-02-05,80.17
P00006,2025-02-06,74.21
P00006,2025-02-07,71.27
P00007,2025-02-01,106.89
P00007,2025-02-02,108.59
P00007,2025-02-03,105.73
P00007,2025-02-04,108.09
P00007,2025-02-05,104.36
P00007,2025-02-06,103.41
P00007,2025-02-07,88.85
P00008,2025-02-01,171.54
P00008,2025-02-02,153.63
P00008,2025-02-03,139.48
P00008,2025-02-04,120.78
P00008,2025-02-05,108.29
P00008,2025-02-06,94.23
P00008,2025-02-07,85.33
P00009,2025-02-01,235.93
P00009,2025-02-02,230.54
P00009,2025-02-03,212.78
P00009,2025-02-04,196.62
P00009,2025-02-05,175.37
P00009,2025-02-06,158.43
P00009,2025-02-07,164.34
P00010,2025-02-01,77.18
P00010,2025-02-02,75.61
P00010,2025-02-03,73.48
P00010,2025-02-04,64.97
P00010,2025-02-05,64.7
P00010,2025-02-06,57.11
P00010,2025-02-07,52.88
P00011,2025-02-01,247.14
P00011,2025-02-02,258.98
P00011,2025-02-03,253.28
P00011,2025-02-04,243.5
P00011,2025-02-05,240.32
P00011,2025-02-06,244.78
P00011,2025-02-07,246.05
P00012,2025-02-01,157.85
P00012,2025-02-02,141.4
P00012,2025-02-03,121.1
P00012,2025-02-04,110.58
P00012,2025-02-05,99.91
P00012,2025-02-06,89.14
P00012,2025-02-07,92.58
P00013,2025-02-01,193.0
P00013,2025-02-02,197.88
P00013,2025-02-03,180.65
P00013,2025-02-04,177.23
P00013,2025-02-05,164.67
P00013,2025-02-06,170.09
P00013,2025-02-07,160.19
P00014,2025-02-01,251.66
P00014,2025-02-02,227.24
P00014,2025-02-03,204.36
P00014,2025-02-04,196.65
P00014,2025-02-05,177.49
P00014,2025-02-06,171.62
P00014,2025-02-07,176.69
P00015,2025-02-01,156.16
P00015,2025-02-02,145.21
P00015,2025-02-03,129.8
P00015,2025-02-04,136.23
P00015,2025-02-05,129.68
P00015,2025-02-06,112.59
P00015,2025-02-07,96.76
P00016,2025-02-01,257.69
P00016,2025-02-02,224.69
P00016,2025-02-03,219.18
P00016,2025-02-04,221.02
P00016,2025-02-05,206.53
P00016,2025-02-06,178.17
P00016,2025-02-07,165.04
